Physical Chemistry Lab	ఫిజికల్ కెమిస్ట్రీ ల్యాబ్
where f is the restoring force and r is the bond length. The energy associated cinsidering the energy curve to be parobolic is given as :	ఇక్కడ f అనేది పునరుద్ధరణ శక్తి మరియు r అనేది బంధం పొడవు. శక్తి వక్రతను పరోబోలిక్ అని భావించే శక్తి అనుబంధంగా ఇవ్వబడింది:
E= 1/2k(r-re)2	E = 1/2k (r-re) 2
Figure 2: Vibrational energy levels and allowed transitions between them for a diatomic molecule in a simple harmonic motion.	మూర్తి 2: కంపన శక్తి స్థాయిలు మరియు సరళమైన హార్మోనిక్ కదలికలో డయాటోమిక్ అణువు కోసం వాటి మధ్య పరివర్తనలను అనుమతించడం.
Picture source: http://condensedconcepts.blogspot.in/2011/10/concrete-test-of-morse-potential-in.htm	చిత్ర మూలం: http://condensedconcepts.blogspot.in/2011/10/concrete-test-of-morse-potential-in.htm
For any haormonic oscillator, when the bond vibrates, its enrgy of vibration is changing continually and periodically from kinetic to potential enrgy and back again. The total energy is proportional to the frequency of vibration, and is given as:	ఏదైనా హార్మోనిక్ ఓసిలేటర్ కోసం, బంధం కంపించేటప్పుడు, దాని కంపనం యొక్క శక్తి నిరంతరం మరియు క్రమానుగతంగా గతి నుండి సంభావ్య శక్తికి మారుతుంది మరియు తిరిగి వస్తుంది. మొత్తం శక్తి కంపనం యొక్క ఫ్రీక్వెన్సీకి అనులోమానుపాతంలో ఉంటుంది మరియు ఇది ఇలా ఇవ్వబడుతుంది:
Eosc = hνosc	Eosc = hνosc
The elastic nature of the bond has an intrinsic vibrational frequency which is determined by the force constant K of the spring or its stiffness, the masses of the bonded atoms.	బంధం యొక్క స్థితిస్థాపక స్వభావం అంతర్గత వైబ్రేషనల్ ఫ్రీక్వెన్సీని కలిగి ఉంటుంది, ఇది వసంత శక్తి యొక్క స్థిరమైన K లేదా దాని దృ ff త్వం, బంధిత అణువుల ద్రవ్యరాశి ద్వారా నిర్ణయించబడుతుంది.
where c is the speed of light, and μ is the reduced mass of the system which is given by:	ఇక్కడ c అనేది కాంతి వేగం, మరియు by అనేది వ్యవస్థ యొక్క తగ్గిన ద్రవ్యరాశి:
μ = m1m2/m1 + m2	μ = m1m2 / m1 + m2
The value of the force constant varies from bond to bond. K for a triple bond is three times those of a single bond and for a double bond it is twice those of a single bond. There are two significant features that can be drawn:	శక్తి స్థిరాంకం యొక్క విలువ బంధం నుండి బంధానికి మారుతుంది. ట్రిపుల్ బాండ్ కోసం K అనేది ఒకే బంధం కంటే మూడు రెట్లు మరియు డబుల్ బాండ్ కోసం ఇది ఒకే బంధం కంటే రెండు రెట్లు ఎక్కువ. రెండు ముఖ్యమైన లక్షణాలు గీయవచ్చు:
1. Strong bonds have large force constants and vibrate at a higher frequency than the weaker bonds.	1. బలమైన బంధాలు పెద్ద శక్తి స్థిరాంకాలను కలిగి ఉంటాయి మరియు బలహీనమైన బంధాల కంటే ఎక్కువ పౌన frequency పున్యంలో వైబ్రేట్ అవుతాయి.
2. Bonds between the heavy atoms (larger reduced mass) vibrate at a lower frequency than that of bonds between the lighter atoms.	2. భారీ అణువుల మధ్య బంధాలు (పెద్ద తగ్గిన ద్రవ్యరాశి) తేలికైన అణువుల మధ్య బంధాల కన్నా తక్కువ పౌన frequency పున్యంలో కంపిస్తాయి.
Figure 3: Vibrational modes of an organic molecule.The energy of molecular vibration is quantised. A molecule can only stretch and bend at certain allowed frequencies.	మూర్తి 3: సేంద్రీయ అణువు యొక్క వైబ్రేషనల్ మోడ్లు. పరమాణు కంపనం యొక్క శక్తి లెక్కించబడుతుంది. ఒక అణువు కొన్ని అనుమతించబడిన పౌన .పున్యాల వద్ద మాత్రమే సాగవచ్చు మరియు వంగి ఉంటుంది.
Picture source: http://chemwiki.ucdavis.edu/Organic_Chemistry/Organic_Chemistry_With_a_Biological_Emphasis/Chapter__4%3A_Structure_Determination_I/Section_4.2%3A__Infrared_spectroscopy	చిత్ర మూలం: http://chemwiki.ucdavis.edu/Organic_Chemistry/Organic_Chemistry_With_a_Biological_Emphasis/Chapter__4%3A_Structure_Determination_I/Section_4.2%3A__Infrared_spectroscopy
Sample preparation for Infrared spectroscopy:	ఇన్ఫ్రారెడ్ స్పెక్ట్రోస్కోపీ కోసం నమూనా తయారీ:
The sample to be measured must be taken in a sample holder or cell which is made of ionic substance. Sodium chloride or potassium bromide plates are used. Potassium bromide plates are more expensive than sodium chloride but has an advantage over the sodium chloride because of the asbsorbs at 650cm-1. Glass or platics absorb strongly through the infrared region.	కొలవవలసిన నమూనాను అయానిక్ పదార్ధంతో తయారు చేసిన నమూనా హోల్డర్ లేదా కణంలో తీసుకోవాలి. సోడియం క్లోరైడ్ లేదా పొటాషియం బ్రోమైడ్ ప్లేట్లు వాడతారు. పొటాషియం బ్రోమైడ్ ప్లేట్లు సోడియం క్లోరైడ్ కన్నా ఖరీదైనవి, అయితే 650 సెం.మీ -1 వద్ద అస్సార్బ్స్ ఉన్నందున సోడియం క్లోరైడ్ కంటే ఎక్కువ ప్రయోజనం ఉంది. పరారుణ ప్రాంతం ద్వారా గాజు లేదా ప్లాటిక్స్ బలంగా గ్రహిస్తాయి.
Liquids: A drop of the liquid sample is placed between a pair of polished IR salt plates. The plates are pressed together and the sample forms a thin film between the salt plates. A spectrum obtained by this method is neat for there is no use of solvent in the sample preparation.	ద్రవాలు: పాలిష్ చేసిన IR ఉప్పు పలకల మధ్య ద్రవ నమూనా యొక్క చుక్క ఉంచబడుతుంది. ప్లేట్లు కలిసి నొక్కినప్పుడు మరియు నమూనా ఉప్పు పలకల మధ్య సన్నని ఫిల్మ్‌ను ఏర్పరుస్తుంది. నమూనా తయారీలో ద్రావకం యొక్క ఉపయోగం లేనందున ఈ పద్ధతి ద్వారా పొందిన స్పెక్ట్రం చక్కగా ఉంటుంది.
Solids: One of the methods used to prepare sample is the Bbr Pellet method. Where the sample is powdered along with KBr and pressed under high pressure to form a pellet.	ఘనపదార్థాలు: నమూనాను తయారు చేయడానికి ఉపయోగించే పద్ధతుల్లో ఒకటి Bbr Pellet పద్ధతి. KBr తో పాటు మాదిరిని పొడి చేసి, అధిక పీడనంతో నొక్కి గుళికను ఏర్పరుస్తుంది.
The other method is the Nujol method where the sample is ground along with few drops of mineral oil or nujol and the thick suspension is place between the salt plates.	ఇతర పద్ధతి నుజోల్ పద్ధతి, ఇక్కడ నమూనా కొన్ని చుక్కల మినరల్ ఆయిల్ లేదా నుజోల్ తో పాటుగా ఉంటుంది మరియు ఉప్పు పలకల మధ్య మందపాటి సస్పెన్షన్ ఉంటుంది.
Figure 4: IR salt plates (Sodium Chloride)	మూర్తి 4: ఐఆర్ ఉప్పు ప్లేట్లు (సోడియం క్లోరైడ్)
Picture source: http://www.sciencephoto.com/media/222708/view	చిత్ర మూలం: http://www.sciencephoto.com/media/222708/view
The Infrared Spectrometer:	పరారుణ స్పెక్ట్రోమీటర్:
The infrared spectrometer or the spectrophotometer is the instrument that determines the IR absorption spectra of a compound. There are two types of spectrometers that are widely used in laboratories.	ఇన్ఫ్రారెడ్ స్పెక్ట్రోమీటర్ లేదా స్పెక్ట్రోఫోటోమీటర్ అనేది సమ్మేళనం యొక్క IR శోషణ స్పెక్ట్రాను నిర్ణయించే పరికరం. Tప్రయోగశాలలలో విస్తృతంగా ఉపయోగించే రెండు రకాల స్పెక్ట్రోమీటర్లు ఇక్కడ ఉన్నాయి.
a. Dispersive infrared spectrometers	ఒక. చెదరగొట్టే పరారుణ స్పెక్ట్రోమీటర్లు
b. Fourier-Transform spectrometers	బి. ఫోరియర్-ట్రాన్స్ఫార్మ్ స్పెక్ట్రోమీటర్లు
Figure4: The main components of a fourier transform infrared (FTIR) spectrophotometer.	మూర్తి 4: ఫోరియర్ ట్రాన్స్ఫార్మ్ ఇన్ఫ్రారెడ్ (ఎఫ్టిఐఆర్) స్పెక్ట్రోఫోటోమీటర్ యొక్క ప్రధాన భాగాలు.
Picture source: http://cnx.org/content/m34660/latest/?collection=col10699/latest	చిత్ర మూలం: http://cnx.org/content/m34660/latest/?collection=col10699/latest
FT-IR spectrometers are the modern spectometers that provide the spectrum more rapidly than the dispersive ones. The optical pathway produces a pattern called the interferogram. This is a complex signal which is a plot of intensity versus time. For more practical purposes this time-domine spectrum is converted to a frequency-domain spectrum, that is intensity versus frequency. This conversion is done by a mathematical operation called a Fourier-Transform (FT). FT separates the individual frequencies from the interferogram producing a virtual spectrum identical to the one abtained form dispersive spectrometers. The biggest advantage of using a FT-IR spectometers is that it is possible to collect number of interferograms of the same sample in less than a second. When a fourier-Transform is performed a sum of all the interferograms gives spectrum which has a better signal to noise ratio. Greater speed and greater sensitivity makes FT-IR spectrometers preferred over dispersive spectometers.	FT-IR స్పెక్ట్రోమీటర్లు ఆధునిక స్పెక్టోమీటర్లు, ఇవి స్పెక్ట్రంను చెదరగొట్టే వాటి కంటే వేగంగా అందిస్తాయి. ఆప్టికల్ పాత్వే ఇంటర్ఫెరోగ్రామ్ అనే నమూనాను ఉత్పత్తి చేస్తుంది. ఇది సంక్లిష్టమైన సిగ్నల్, ఇది సమయం మరియు తీవ్రత యొక్క ప్లాట్లు. మరింత ఆచరణాత్మక ప్రయోజనాల కోసం ఈ టైమ్-డొమైన్ స్పెక్ట్రం ఫ్రీక్వెన్సీ-డొమైన్ స్పెక్ట్రమ్‌గా మార్చబడుతుంది, ఇది ఫ్రీక్వెన్సీ వర్సెస్ ఫ్రీక్వెన్సీ. ఈ మార్పిడి ఫోరియర్-ట్రాన్స్ఫార్మ్ (FT) అనే గణిత ఆపరేషన్ ద్వారా జరుగుతుంది. FT ఇంటర్ఫెరోగ్రామ్ నుండి వ్యక్తిగత పౌన encies పున్యాలను వేరు చేస్తుంది, ఇది వర్చువల్ స్పెక్ట్రంను ఉత్పత్తి చేస్తుంది, ఇది ఒక రూపం చెదరగొట్టే స్పెక్ట్రోమీటర్లకు సమానంగా ఉంటుంది. FT-IR స్పెక్టోమీటర్లను ఉపయోగించడం యొక్క అతిపెద్ద ప్రయోజనం ఏమిటంటే, ఒకే నమూనా యొక్క ఇంటర్ఫెరోగ్రామ్‌ల సంఖ్యను సెకనులోపు సేకరించడం సాధ్యపడుతుంది. ఫోరియర్-ట్రాన్స్ఫార్మ్ నిర్వహించినప్పుడు అన్ని ఇంటర్ఫెరోగ్రామ్‌ల మొత్తం స్పెక్ట్రంను ఇస్తుంది, ఇది శబ్ద నిష్పత్తికి మంచి సిగ్నల్ కలిగి ఉంటుంది. ఎక్కువ వేగం మరియు ఎక్కువ సున్నితత్వం చెదరగొట్టే స్పెక్టోమీటర్ల కంటే FT-IR స్పెక్ట్రోమీటర్లకు ప్రాధాన్యతనిస్తుంది.
Objective	ఆబ్జెక్టివ్
(i) To learn sample prepartion and handling procedures to measure an IR spectrum using salt plates.	(i) ఉప్పు పలకలను ఉపయోగించి IR స్పెక్ట్రం కొలిచేందుకు నమూనా ముందస్తు మరియు నిర్వహణ విధానాలను నేర్చుకోవడం.
(ii) Spectral analysis of the sample measured.	(ii) కొలిచిన నమూనా యొక్క వర్ణపట విశ్లేషణ.
Experiment	ప్రయోగం
Click here	ఇక్కడ నొక్కండి
Manual	మాన్యువల్
Follow the procedure given below:	క్రింద ఇచ్చిన విధానాన్ని అనుసరించండి:
1. Click on the sample bottle (the first bottle) to transfer a small quantity of the sample to the mortar.	1. నమూనా యొక్క చిన్న పరిమాణాన్ని మోర్టార్‌కు బదిలీ చేయడానికి నమూనా బాటిల్ (మొదటి బాటిల్) పై క్లిక్ చేయండి.
2. Click on the mortar to grind the sample to fine paste	2. నమూనాను చక్కగా పేస్ట్ చేయడానికి మోర్టార్ పై క్లిక్ చేయండి
3. Click on the bottle containing Nujol to transfer few drops to the mortar.	3. మోర్టార్‌కు కొన్ని చుక్కలను బదిలీ చేయడానికి నుజోల్ ఉన్న సీసాపై క్లిక్ చేయండి.
4. Click on the mortar to make a fine paste of sample	4. నమూనా యొక్క చక్కటి పేస్ట్ చేయడానికి మోర్టార్ మీద క్లిక్ చేయండి
5. Transfer the sample prepared onto one of the IR discs	5. తయారుచేసిన నమూనాను ఐఆర్ డిస్కుల్లో ఒకదానికి బదిలీ చేయండి
6. Place carefully the other disc and press to form a thin film.	6. ఇతర డిస్క్‌ను జాగ్రత్తగా ఉంచండి మరియు సన్నని ఫిల్మ్‌ను రూపొందించడానికి నొక్కండి.
7. Move the IR plates to the plate holder	7. ఐఆర్ ప్లేట్లను ప్లేట్ హోల్డర్‌కు తరలించండి
8. Place the other part of the holder to sandwich the IR discs.	8. ఐఆర్ డిస్కులను శాండ్‌విచ్ చేయడానికి హోల్డర్ యొక్క ఇతర భాగాన్ని ఉంచండి.
9. Click on the holder to place the the sample in the spectrometer.	9. స్పెక్ట్రోమీటర్‌లో నమూనాను ఉంచడానికి హోల్డర్‌పై క్లిక్ చేయండి.
10. Click start to run the spectrometer.	10. స్పెక్ట్రోమీటర్‌ను అమలు చేయడానికి ప్రారంభం క్లిక్ చేయండి.
Quizzes	క్విజెస్
right answer!	సరైన సమాధానం!
oops, wrong answer!	అయ్యో, తప్పు సమాధానం!
1. The most commonly used and relatively less expensive cell for routine use in IR spectroscopy is:	1. ఐఆర్ స్పెక్ట్రోస్కోపీలో సాధారణ ఉపయోగం కోసం సాధారణంగా ఉపయోగించే మరియు తక్కువ ఖర్చుతో కూడిన సెల్:
a. Sodium chloride	ఒక. సోడియం క్లోరైడ్
b. Potassium Chloride	బి. పొటాషియం క్లోరైడ్
c. Glass Cells	సి. గాజు కణాలు
d. Plastic Cells	d. ప్లాస్టిక్ కణాలు
2. Materials made of glass are not used for IR measurement because:	2. గాజుతో చేసిన పదార్థాలు IR కొలత కోసం ఉపయోగించబడవు ఎందుకంటే:
a. strongly absorb through out the IR region of the spectrum.	ఒక. స్పెక్ట్రం యొక్క IR ప్రాంతాన్ని గట్టిగా గ్రహిస్తుంది.
b. do not absorb through out the IR region of the spectrum.	బి. స్పెక్ట్రం యొక్క IR ప్రాంతాన్ని గ్రహించవద్దు.
c. udergo scattering.	సి. udergo వికీర్ణం.
d. remains unaltered	d. మారదు
3. To measure the Spectrum of a compound in the range of 4000 to 400 cm-1 the following plates is used:	3. 4000 నుండి 400 సెం.మీ -1 పరిధిలో సమ్మేళనం యొక్క స్పెక్ట్రమ్ను కొలవడానికి క్రింది ప్లేట్లు ఉపయోగించబడతాయి:
a. Glass plates	ఒక. గ్లాస్ ప్లేట్లు
b. Sodium chloride plates	బి. సోడియం క్లోరైడ్ ప్లేట్లు
c. Potassium bromide plates	సి. పొటాషియం బ్రోమైడ్ ప్లేట్లు
d. Silica plates	d. సిలికా ప్లేట్లు
4. Which of the following bonds is expected to have the highest frequency stretch?	4. కింది వాటిలో ఏది అత్యధిక ఫ్రీక్వెన్సీ స్ట్రెచ్ కలిగి ఉంటుందని భావిస్తున్నారు?
a. carbon-carbon single bond	ఒక. కార్బన్-కార్బన్ సింగిల్ బాండ్
b. carbon-carbon double bond	బి. కార్బన్-కార్బన్ డబుల్ బాండ్
c. carbon-carbon triple bond	సి. కార్బన్-కార్బన్ ట్రిపుల్ బాండ్
d. carbon-bromine single bond	d. కార్బన్-బ్రోమిన్ సింగిల్ బాండ్
5. A strong signal at 3300 cm-1 in an IR spectrum indicates presence of	5. ఐఆర్ స్పెక్ట్రంలో 3300 సెం.మీ -1 వద్ద బలమైన సిగ్నల్ ఉనికిని సూచిస్తుంది
a. alcohol	ఒక. మద్యం
b. ether	బి. ఈథర్
c. carbonyl	సి. కార్బోనిల్
d. amine	d. అభినవ
6. The carbonyl (C=O) stretching frequency appears at:	6. కార్బొనిల్ (సి = ​​ఓ) సాగతీత పౌన frequency పున్యం ఇక్కడ కనిపిస్తుంది:
a. 740 - 720	ఒక. 740 - 720
b. 1870 - 1650	బి. 1870 - 1650
c. 3640 - 3250	సి. 3640 - 3250
d. 1160 - 1030	d. 1160 - 1030
7. Where in an IR spectrum does a carbon-carbon triple bond show a stretching vibration	7. ఐఆర్ స్పెక్ట్రంలో కార్బన్-కార్బన్ ట్రిపుల్ బాండ్ సాగతీత కంపనాన్ని చూపిస్తుంది
a. 2700 cm-1	ఒక. 2700 సెం.మీ -1
b. 3100 cm-1	బి. 3100 సెం.మీ -1
c. 2100 cm-1	సి. 2100 సెం.మీ -1
d. 3300 cm-1	d. 3300 సెం.మీ -1
8. Infrared spectroscopy provides valuable information about	8. ఇన్ఫ్రారెడ్ స్పెక్ట్రోస్కోపీ దాని గురించి విలువైన సమాచారాన్ని అందిస్తుంది
a. molecular weight	ఒక. పరమాణు బరువు
b. Physical properties	బి. భౌతిక లక్షణాలు
c. chemical properties	సి. రసాయన లక్షణాలు
d. functional groups.	d. క్రియాత్మక సమూహాలు.
9. What determines the intensity of an IR peak absorption in an IR spectrum?	9. ఐఆర్ స్పెక్ట్రంలో ఐఆర్ పీక్ శోషణ యొక్క తీవ్రతను ఏది నిర్ణయిస్తుంది?
a. the change in polarizability during vibration	ఒక. కంపనం సమయంలో ధ్రువణతలో మార్పు
b. the change in bond length during vibration	బి. కంపనం సమయంలో బాండ్ పొడవులో మార్పు
c. the change in dipole moment during vibration	సి. కంపనం సమయంలో ద్విధ్రువ క్షణంలో మార్పు
d. the molecular weight of the bonding atoms	d. బంధ పరమాణువుల పరమాణు బరువు
10. The most effect method of IR spectroscopy is the:	10. ఐఆర్ స్పెక్ట్రోస్కోపీ యొక్క అత్యంత ప్రభావ పద్ధతి:
a. Dispersion spectrometers	ఒక. చెదరగొట్టే స్పెక్ట్రోమీటర్లు
b. Reflection spectrometers	బి. ప్రతిబింబం స్పెక్ట్రోమీటర్లు
c. Fourier-Transform spectrometers	సి. ఫోరియర్-ట్రాన్స్ఫార్మ్ స్పెక్ట్రోమీటర్లు
d. Deflection spectrometers	d. విక్షేపం స్పెక్ట్రోమీటర్లు
Further Readings	మరింత రీడింగ్స్
Book References:	పుస్తక సూచనలు:
1. Paula, Peter Atkins, Julio de (2009). Elements of physical chemistry (5th ed. ed.). Oxford: Oxford U.P	1. పౌలా, పీటర్ అట్కిన్స్, జూలియో డి (2009). ఎలిమెంట్స్ ఆఫ్ ఫిజికల్ కెమిస్ట్రీ (5 వ ఎడిషన్ ఎడిషన్). ఆక్స్ఫర్డ్: ఆక్స్ఫర్డ్ యు.పి.
2. Brian C Smith (1995). Fundamentals of Fourier Transform Infrared Spectroscopy, Donald L. Pavia Gary M. Lampman, George S. Kriz James A. Vyvyan (2008) Introduction to Spectroscopy. Brooks/Cole	2. బ్రియాన్ సి స్మిత్ (1995). ఫోరియర్ ట్రాన్స్ఫార్మ్ ఇన్ఫ్రారెడ్ స్పెక్ట్రోస్కోపీ యొక్క ఫండమెంటల్స్, డోనాల్డ్ ఎల్. పావియా గారి ఎం. లాంప్మన్, జార్జ్ ఎస్. క్రిజ్ జేమ్స్ ఎ. వైవ్యన్ (2008) ఇంట్రడక్షన్ టు స్పెక్ట్రోస్కోపీ. బ్రూక్స్ / కోల్
3. Colin N. Banwell, Elaine M. McCash (1994). Fundamentals of Molecular Spectroscopy. Mcgraw hill.	3. కోలిన్ ఎన్. బాన్వెల్, ఎలైన్ ఎం. మక్కాష్ (1994). మాలిక్యులర్ స్పెక్ట్రోస్కోపీ యొక్క ఫండమెంటల్స్. మెక్‌గ్రా కొండ.
Other references:	ఇతర సూచనలు:
1. http://orgchem.colorado.edu/hndbksupport/specttutor/irchart.html	1. http://orgchem.colorado.edu/hndbksupport/specttutor/irchart.html
2. http://chem-ilp.net/labTechniques/IRVideo.htm	2. http://chem-ilp.net/labTechniques/IRVideo.htm
3 http://www.umass.edu/microbio/chime/ir-spect/#	3 http://www.umass.edu/microbio/chime/ir-spect/#
4. http://www.chem.umass.edu/~nermmw/Spectra/irspectra/Methanol/methanol.html#	4. http://www.chem.umass.edu/~nermmw/Spectra/irspectra/Methanol/methanol.html#
5. http://www2.chemistry.msu.edu/faculty/reusch/VirtTxtJml/Spectrpy/InfraRed/problems/irmsprb.htm	5. http://www2.chemistry.msu.edu/faculty/reusch/VirtTxtJml/Spectrpy/InfraRed/problems/irmsprb.htm
6. http://solidstate.physics.sunysb.edu/book/prob/node111.html	6. http://solidstate.physics.sunysb.edu/book/prob/node111.html
7. http://www3.wooster.edu/chemistry/analytical/default.html	7. http://www3.wooster.edu/chemistry/analytical/default.html
8. http://faculty.sdmiramar.edu/fgarces/LabMatters/Instruments/FTIR/FTIR.htm#Instrument	8. http://faculty.sdmiramar.edu/fgarces/LabMatters/Instruments/FTIR/FTIR.htm#Instrument
9. http://www.biophysik.uni-freiburg.de/Spectroscopy/FTIR/spectroscopy.html	9. http: //www.biophysik.uni-freiburg.de/Spectroscopy/FTIR/spectroscopy.html
10. http://www.learnerstv.com/animation/animation.php?ani=56&cat;=Chemistry	10. http://www.learnerstv.com/animation/animation.php?ani=56&cat;=Chemistry
11. http://www.chem.purdue.edu/gchelp/vibs/#	11. http://www.chem.purdue.edu/gchelp/vibs/#
12. http://www3.wooster.edu/chemistry/analytical/ftir/default.html	12. http://www3.wooster.edu/chemistry/analytical/ftir/default.html
13. http://orgchem.colorado.edu/hndbksupport/irtutor/tutorial.html	13. http://orgchem.colorado.edu/hndbksupport/irtutor/tutorial.html
Sample preparation:	నమూనా తయారీ:
http://orgchem.colorado.edu/procedures/IR/IRprepother.html	http://orgchem.colorado.edu/procedures/IR/IRprepother.html
http://orgchem.colorado.edu/procedures/IR/IRsolids.html	http://orgchem.colorado.edu/procedures/IR/IRsolids.html
http://www.niu.edu/AnalyticalLab/ftir/sample%20preparation.shtml	http://www.niu.edu/AnalyticalLab/ftir/sample%20preparation.shtml
Feedback	అభిప్రాయం
Feedback	అభిప్రాయం
