Welcome to Virtual Labs - A MHRD Govt of india Initiative	వర్చువల్ ల్యాబ్స్‌కు స్వాగతం - భారత ఇనిషియేటివ్ యొక్క MHRD ప్రభుత్వం
FT-IR spectrometers are the modern spectometers that provide the spectrum more rapidly than the dispersive ones. The optical pathway produces a pattern called the interferogram. This is a complex signal which is a plot of intensity versus time. For more practical purposes this time-domine spectrum is converted to a frequency-domain spectrum, that is intensity versus frequency. This conversion is done by a mathematical operation called a Fourier-Transform (FT). FT separates the individual frequencies from the interferogram producing a virtual spectrum identical to the one abtained form dispersive spectrometers. The biggest advantage of using a FT-IR spectometers is that it is possible to collect number of interferograms of the same sample in less than a second. When a fourier-Transform is performed a sum of all the interferograms gives spectrum which has a better signal to noise ratio. Greater speed and greater sensitivity makes FT-IR spectrometers preferred over dispersive spectometers.	FT-IR స్పెక్ట్రోమీటర్లు ఆధునిక స్పెక్టోమీటర్లు, ఇవి స్పెక్ట్రంను చెదరగొట్టే వాటి కంటే వేగంగా అందిస్తాయి. ఆప్టికల్ పాత్వే ఇంటర్ఫెరోగ్రామ్ అనే నమూనాను ఉత్పత్తి చేస్తుంది. ఇది సంక్లిష్టమైన సిగ్నల్, ఇది సమయం మరియు తీవ్రత యొక్క ప్లాట్లు. మరింత ఆచరణాత్మక ప్రయోజనాల కోసం ఈ టైమ్-డొమైన్ స్పెక్ట్రం ఫ్రీక్వెన్సీ-డొమైన్ స్పెక్ట్రమ్‌గా మార్చబడుతుంది, ఇది ఫ్రీక్వెన్సీ వర్సెస్ ఫ్రీక్వెన్సీ. ఈ మార్పిడి డాన్ఫోరియర్-ట్రాన్స్ఫార్మ్ (FT) అని పిలువబడే గణిత ఆపరేషన్ ద్వారా. FT ఇంటర్ఫెరోగ్రామ్ నుండి వ్యక్తిగత పౌన encies పున్యాలను వేరు చేస్తుంది, ఇది వర్చువల్ స్పెక్ట్రంను ఉత్పత్తి చేస్తుంది, ఇది ఒక రూపం చెదరగొట్టే స్పెక్ట్రోమీటర్లకు సమానంగా ఉంటుంది. FT-IR స్పెక్టోమీటర్లను ఉపయోగించడం యొక్క అతిపెద్ద ప్రయోజనం ఏమిటంటే, ఒకే నమూనా యొక్క ఇంటర్ఫెరోగ్రామ్‌ల సంఖ్యను సెకనులోపు సేకరించడం సాధ్యపడుతుంది. ఒక ఫోరియర్-ట్రాన్స్ఫార్మ్ నిర్వహించినప్పుడు అన్ని ఇంటర్ఫెరోగ్రామ్‌ల మొత్తం స్పెక్ట్రంను ఇస్తుంది, ఇది శబ్ద నిష్పత్తికి మంచి సిగ్నల్ కలిగి ఉంటుంది. ఎక్కువ వేగం మరియు ఎక్కువ సున్నితత్వం చెదరగొట్టే స్పెక్టోమీటర్ల కంటే FT-IR స్పెక్ట్రోమీటర్లకు ప్రాధాన్యతనిస్తుంది.
Updates	నవీకరణలు
Lab Integration Kit 1.0.0 Released	ల్యాబ్ ఇంటిగ్రేషన్ కిట్ 1.0.0 విడుదల చేయబడింది
Summer Sprint Integration Workshop at IIT Guwahati	ఐఐటి గువహతిలో సమ్మర్ స్ప్రింట్ ఇంటిగ్రేషన్ వర్క్‌షాప్
A new set of 35 Virtual Labs on Portable Media	పోర్టబుల్ మీడియాలో 35 వర్చువల్ ల్యాబ్‌ల కొత్త సెట్
VLEAD Blog	VLEAD బ్లాగ్
Sakshat Portal	అక్షత్ పోర్టల్
Nodal Center	నోడల్ సెంటర్
Contact : support@vlabs.ac.in	సంప్రదించండి: support@vlabs.ac.in
Feedback	అభిప్రాయం
Follow us	మమ్మల్ని అనుసరించు
