Physical Chemistry Lab	ఫిజికల్ కెమిస్ట్రీ ల్యాబ్
Objective	ఆబ్జెక్టివ్
Objective of simple harmonic oscillator experiment is to understand the concept of time period (natural frequency) in harmonic oscillations .	సాధారణ హార్మోనిక్ ఓసిలేటర్ ప్రయోగం యొక్క లక్ష్యం హార్మోనిక్ డోలనాలను కాల వ్యవధి (సహజ పౌన frequency పున్యం) యొక్క భావనను అర్థం చేసుకోవడం.
Experiment	ప్రయోగం
Manual	మాన్యువల్
Start the experiment with the default values of length, mass and intial displacement (in angle). Pause the experiment after few cycles and note	పొడవు, ద్రవ్యరాశి మరియు అంతర్గత స్థానభ్రంశం (కోణంలో) యొక్క డిఫాల్ట్ విలువలతో ప్రయోగాన్ని ప్రారంభించండి. కొన్ని చక్రాల తర్వాత ప్రయోగాన్ని పాజ్ చేసి గమనించండి
the observation.	పరిశీలన.
Observation 1:	పరిశీలన 1:
Find the time period of the pendulum by noting the time interval of any one complete cycle from the response graph.	ప్రతిస్పందన గ్రాఫ్ నుండి ఏదైనా ఒక పూర్తి చక్రం యొక్క సమయ వ్యవధిని పేర్కొనడం ద్వారా లోలకం యొక్క కాల వ్యవధిని కనుగొనండి.
You may note that this time period value is same for any complete cycle.	ఏదైనా పూర్తి చక్రానికి ఈ సమయ వ్యవధి విలువ సమానంగా ఉంటుందని మీరు గమనించవచ్చు.
Read More	ఇంకా చదవండి
Quizzes	క్విజెస్
Q1.	Q1.
Time taken for one complete oscillation is called Time Period of the oscillator.	ఒక పూర్తి డోలనం కోసం తీసుకున్న సమయాన్ని ఓసిలేటర్ యొక్క కాల వ్యవధి అంటారు.
True	ట్రూ
False	తప్పుడు
Q2.	Q2.
Time period of the oscillator is constant for given values of mass, length and initial conditions.	ద్రవ్యరాశి, పొడవు మరియు ప్రారంభ పరిస్థితుల యొక్క విలువలకు ఓసిలేటర్ యొక్క కాల వ్యవధి స్థిరంగా ఉంటుంది.
True	ట్రూ
False	తప్పుడు
Q3.	Q3.
Value of Time period depends on initial conditions.	కాల వ్యవధి యొక్క విలువ ప్రారంభ పరిస్థితులపై ఆధారపడి ఉంటుంది.
True	ట్రూ
False	తప్పుడు
Q4.	Q4.
Value of time period depends on mass.	కాల వ్యవధి యొక్క విలువ ద్రవ్యరాశిపై ఆధారపడి ఉంటుంది.
True	ట్రూ
False	తప్పుడు
Q5.	Q5.
Value of time period depends on length of the oscillator.	కాల వ్యవధి యొక్క విలువ ఓసిలేటర్ యొక్క పొడవుపై ఆధారపడి ఉంటుంది.
True	ట్రూ
False	తప్పుడు
Procedure	విధానము
Procedure for the experiment is as follows	ప్రయోగం యొక్క విధానం క్రింది విధంగా ఉంది
Further Readings	మరింత రీడింగ్స్
http://en.wikipedia.org/wiki/Simple_harmonic_motion	http://en.wikipedia.org/wiki/Simple_harmonic_motion
http://www.physics.uoguelph.ca/tutorials/shm/Q.shm.html	http://www.physics.uoguelph.ca/tutorials/shm/Q.shm.html
â€œDynamics of structuresâ€ by Anil K chopra.	అనిల్ కె చోప్రా రచించిన "నిర్మాణాల డైనమిక్స్".
http://surendranath.tripod.com/Applets/Oscillations/SHM/SHMApplet.html	http://surendranath.tripod.com/Applets/Oscillations/SHM/SHMApplet.html
