Welcome to Virtual Labs - A MHRD Govt of india Initiative	భారత ప్రభుత్వం చొరవతో, MHRD-వర్చువల్ ప్రయెాగశాలకు స్వాగతంే 
f = -k(r-re)	f = -k (r-re) 
where f is the restoring force and r is the bond length. The energy associated cinsidering the energy curve to be parobolic is given as :	ఇక్కడ f అనేది పునరుద్ధరణ శక్తి మరియు r అనేది బంధం పొడవు. శక్తి వక్రాన్ని పరావలయ అని భావిస్తేఅప్పుడు శక్తి: 
E= 1/2k(r-re)2	E = 1/2k (r-re) 2 
For any haormonic oscillator, when the bond vibrates, its enrgy of vibration is changing continually and periodically from kinetic to potential enrgy and back again. The total energy is proportional to the frequency of vibration, and is given as:	ఏదైనా హార్మాత్మక డోలకం తీసుకుంటే, బంధం కంపించేటప్పుడు, దాని కంపనం యొక్క శక్తి నిరంతరం మరియు క్రమానుగతంగా గతి నుండి స్తితి శక్తికి మరియు గతి నుండి స్తితి శక్తికి మారుతుంది. మొత్తం శక్తి, కంపన పౌనఃపున్యంకి అనులోమానుపాతంలో ఉంటుంది మరియు ఇది ఇలా ఇవ్వబడుతుంది: 
Eosc = hνosc	Eosc = hνosc 
The elastic nature of the bond has an intrinsic vibrational frequency which is determined by the force constant K of the spring or its stiffness, the masses of the bonded atoms.	బంధం యొక్క ఈ సాగే స్వభావం అంతర్గత కంపన పౌనఃపున్యం కలిగి ఉంటుంది, ఇది స్ప్రింగ్ యొక్క శక్తి స్థిరాంకం K లేదా దాని దృడత్వం మరియు బంధిత అణువుల ద్రవ్యరాశి ద్వారా నిర్ణయించబడుతుంది. 
where c is the speed of light, and μ is the reduced mass of the system which is given by:	ఇక్కడ c అనేది కాంతి వేగం, మరియు μ అనేది నిర్మాణం యొక్క తగ్గిన ద్రవ్యరాశి: 
μ = m1m2/m1 + m2	μ = m1m2 / m1 + m2 
The value of the force constant varies from bond to bond. K for a triple bond is three times those of a single bond and for a double bond it is twice those of a single bond. There are two significant features that can be drawn:	బల స్థిరాంకం యొక్క విలువ ఒక్కొక్కొ బంధానికి ఒక్కొక్కలా మారుతుంది. త్రిబంధం(ట్రిపుల్ బాండ్) K అనేది ఒక బంధం కంటే మూడు రెట్లు మరియు ద్విబంధం(డబుల్ బాండ్) అంటే ఒక బంధం కంటే రెండు రెట్లు ఎక్కువ. రెండు ముఖ్యమైన లక్షణాలు గీయవచ్చు: 
1. Strong bonds have large force constants and vibrate at a higher frequency than the weaker bonds.	1. బలమైన బంధాలు పెద్ద బల స్థిరాంకాలను కలిగి ఉంటాయి మరియు బలహీనమైన బంధాల కంటే ఎక్కువ పౌనఃపున్యంలో కంపిస్తాయి. 
2. Bonds between the heavy atoms (larger reduced mass) vibrate at a lower frequency than that of bonds between the lighter atoms.	2. బరువైన అణువుల మధ్య బంధాలు(పెద్ద తగ్గిన ద్రవ్యరాశి) తేలికైన అణువుల మధ్య బంధాల కన్నా తక్కువ పౌనఃపున్యంలో కంపిస్తాయి. 
The Infrared Spectrometer:	ఇన్ఫ్రారెడ్ (పరారుణ) స్పెక్ట్రోమీటర్: 
The infrared spectrometer or the spectrophotometer is the instrument that determines the IR absorption spectra of a compound. There are two types of spectrometers that are widely used in laboratories.	ఇన్ఫ్రారెడ్ స్పెక్ట్రోమీటర్ లేదా స్పెక్ట్రోఫోటోమీటర్ అనేది సమ్మేళనం యొక్క IR శోషణ స్పెక్ట్రాను నిర్ణయించే పరికరం. ప్రయోగశాలలలో విస్తృతంగా ఉపయోగించే రెండు రకాల స్పెక్ట్రోమీటర్లు ఉన్నాయి. 
a. Dispersive infrared spectrometers	ఎ. డిస్పర్సివ్(విక్షేపణ) ఇన్ఫ్రారెడ్ స్పెక్ట్రోమీటర్లు 
b. Fourier-Transform spectrometers	బి. ఫోరియర్-ట్రాన్స్ఫార్మ్ స్పెక్ట్రోమీటర్లు 
Figure 2: The main components of a fourier transform infrared (FTIR) spectrophotometer.	పటం 2: ఫోరియర్ ట్రాన్స్ఫార్మ్ ఇన్ఫ్రారెడ్ (ఎఫ్టిఐఆర్) స్పెక్ట్రోఫోటోమీటర్ యొక్క ప్రధాన భాగాలు. 
Picture source: http://cnx.org/content/m34660/latest/?collection=col10699/latest	చిత్ర మూలం: http://cnx.org/content/m34660/latest/?collection=col10699/latest 
FT-IR spectrometers are the modern spectometers that provide the spectrum more rapidly than the dispersive ones. The optical pathway produces a pattern called the interferogram. This is a complex signal which is a plot of intensity versus time. For more practical purposes this time-domine spectrum is converted to a frequency-domain spectrum, that is intensity versus frequency. This conversion is done by a mathematical operation called a Fourier-Transform (FT). FT separates the individual frequencies from the interferogram producing a virtual spectrum identical to the one abtained form dispersive spectrometers. The biggest advantage of using a FT-IR spectometers is that it is possible to collect number of interferograms of the same sample in less than a second. When a fourier-Transform is performed a sum of all the interferograms gives spectrum which has a better signal to noise ratio. Greater speed and greater sensitivity makes FT-IR spectrometers preferred over dispersive spectometers.	FT-IR స్పెక్ట్రోమీటర్లు ఆధునిక స్పెక్టోమీటర్లు, ఇవి స్పెక్ట్రంను డిస్పర్సివ్(విక్షేపణ) వాటి కంటే వేగంగా అందిస్తాయి. ఆప్టికల్ పాత్వే, ఇంటర్‌ఫెరోగ్రామ్‌ అనే నమూనాను ఇస్తుంది. ఇది సంక్లిష్టమైన సిగ్నల్, ఇది సమయం మరియు తీవ్రత యొక్క గ్రాఫ్ (ప్లాట్). మరింత ఆచరణాత్మక ప్రయోజనాల కోసం ఈ టైమ్-డొమైన్ స్పెక్ట్రం(కాల వర్ణపటం) ఫ్రీక్వెన్సీ-డొమైన్ స్పెక్ట్రమ్‌గా(పౌనఃపున్య వర్ణపటం) మార్చబడుతుంది, ఇది తీవ్రత మరియు పౌనఃపున్యం మధ్య ఉంటుంది. ఈ మార్పిడి ఫోరియర్-ట్రాన్స్ఫార్మ్ (FT) అనే గణిత ఆపరేషన్ ద్వారా జరుగుతుంది. FT-IR ఇంటర్ఫెరోగ్రామ్ నుండి రకరకాల పౌనఃపున్యాలను వేరు చేసి ఇచ్చిన వర్చువల్ స్పెక్ట్రం, డిస్పర్సివ్(విక్షేపణ) స్పెక్టోమీటర్లు ఇచ్చిన స్పెక్ట్రం ఒకలాగే ఉంటాయి.FT-IR స్పెక్టోమీటర్లను ఉపయోగించడం యొక్క అతిపెద్ద ప్రయోజనం ఏమిటంటే, అదే నమూనా యొక్క ఇంటర్‌ఫెరోగ్రామ్‌ల సంఖ్యను సెకనులోపు సేకరించడం సాధ్యపడుతుంది. అన్ని ఇంటర్‌ఫెరోగ్రామ్‌లపై ఫోరియర్-ట్రాన్స్ఫార్మ్ వాడినప్పుడు వచ్చిన స్పెక్ట్రం మంచి సిగ్నల్ నొయస్ రేషియో(సిగ్నల్ శబ్ద నిష్పత్తి)కలిగి ఉంటుంది. ఎక్కువ వేగం మరియు ఎక్కువ సున్నితత్వం వల్ల FT-IR స్పెక్ట్రోమీటర్లు డిస్పర్సివ్(విక్షేపణ) స్పెక్టోమీటర్లు కంటే బాగా పనిచేస్తాయి. 
Figure 3: FT-IR spectrophotometers collects the interferograms of the sample and fourier-transform them to a absorption spectrum.	పటం 3: FT-IR స్పెక్ట్రోఫోటోమీటర్లు నమూనా యొక్క ఇంటర్‌ఫెరోగ్రామ్‌లను సేకరించి ఫోరియర్- ట్రాన్స్ఫార్మ్ వాడి శోషణ స్పెక్ట్రమ్‌గా మారుస్తాయి. 
Picture source: http://faculty.sdmiramar.edu/fgarces/LabMatters/Instruments/FTIR/FTIR.htm	చిత్రం మూలం: http://faculty.sdmiramar.edu/fgarces/LabMatters/Instruments/FTIR/FTIR.htm 
Updates	నవీకరణలు 
Lab Integration Kit 1.0.0 Released	ల్యాబ్ ఇంటిగ్రేషన్ కిట్ 1.0.0 విడుదల చేయబడింది 
Summer Sprint Integration Workshop at IIT Guwahati	ఐఐటి గౌహతిలో సమ్మర్ స్ప్రింట్ ఇంటిగ్రేషన్ వర్క్‌షాప్ 
A new set of 35 Virtual Labs on Portable Media	పోర్టబుల్ మీడియాలో 35 వర్చువల్ ల్యాబ్‌ల కొత్త సెట్ 
VLEAD Blog	VLEAD బ్లాగ్ 
Sakshat Portal	సాక్షత్ పోర్టల్ 
Nodal Center	నోడల్ సెంటర్ 
Contact : support@vlabs.ac.in	సంప్రదించండి: support@vlabs.ac.in 
Feedback	అభిప్రాయం 
Follow us	మమ్మల్ని అనుసరించండి
