Welcome to Virtual Labs - A MHRD Govt of india Initiative	आभासी प्रयोगशालाओं (वर्चुअल लैब्स) में आपका स्वागत है- एमएचआरडी भारत सरकार की एक पहल 
The value of the force constant varies from bond to bond. K for a triple bond is three times those of a single bond and for a double bond it is twice those of a single bond. There are two significant features that can be drawn:	बल स्थिरांक का मान बंधन से भिन्न होता है। ट्रिपल बॉन्ड के लिए K एक सिंगल बॉन्ड के तीन गुना होता है और एक डबल बॉन्ड के लिए यह सिंगल बॉन्ड का दोगुना होता है। खींची जा सकने वाली दो महत्वपूर्ण विशेषताएं हैं:
1. Strong bonds have large force constants and vibrate at a higher frequency than the weaker bonds.	1. मजबूत बॉन्ड में बड़े बल स्थिरांक होते हैं और कमजोर बॉन्ड की तुलना में उच्च आवृत्ति पर कंपन होते हैं।
2. Bonds between the heavy atoms (larger reduced mass) vibrate at a lower frequency than that of bonds between the lighter atoms.	2. भारी परमाणुओं (बड़े कम द्रव्यमान) के बीच के बांड, हल्के परमाणुओं के बीच बांड की तुलना में कम आवृत्ति पर कंपन करते हैं।
Figure 3: Vibrational modes of an organic molecule.The energy of molecular vibration is quantised. A molecule can only stretch and bend at certain allowed frequencies.	चित्र 3: एक कार्बनिक अणु के कंपन मोड। आणविक कंपन की ऊर्जा मात्रा है। एक अणु केवल कुछ निश्चित आवृत्तियों पर खिंचाव और झुक सकता है।
Picture source: http://chemwiki.ucdavis.edu/Organic_Chemistry/Organic_Chemistry_With_a_Biological_Emphasis/Chapter__4%3A_Structure_Determination_I/Section_4.2%3A__Infrared_spectroscopy	चित्र स्रोत: http://chemwiki.ucdavis.edu/Organic_Chemistry/Organic_Chemistry_With_a_Biological_Emphasis/Chapter__4%3A_ructure_Determination_I/Section_4.2%3A__Infrared_spectroscopy
Sample preparation for Infrared spectroscopy:	इन्फ्रारेड स्पेक्ट्रोस्कोपी के लिए नमूना तैयार करना:
The sample to be measured must be taken in a sample holder or cell which is made of ionic substance. Sodium chloride or potassium bromide plates are used. Potassium bromide plates are more expensive than sodium chloride but has an advantage over the sodium chloride because of the asbsorbs at 650cm-1. Glass or platics absorb strongly through the infrared region.	मापा जाने वाला नमूना एक नमूना धारक या सेल में लिया जाना चाहिए जो आयनिक पदार्थ से बना हो। सोडियम क्लोराइड या पोटेशियम ब्रोमाइड प्लेटों का उपयोग किया जाता है। पोटेशियम ब्रोमाइड प्लेट सोडियम क्लोराइड की तुलना में अधिक महंगे हैं, लेकिन 650 सेमी -1 पर एस्कॉर्बर्स की वजह से सोडियम क्लोराइड पर एक फायदा है। ग्लास या प्लैटिक्स अवरक्त क्षेत्र के माध्यम से दृढ़ता से अवशोषित करते हैं।
Liquids: A drop of the liquid sample is placed between a pair of polished IR salt plates. The plates are pressed together and the sample forms a thin film between the salt plates. A spectrum obtained by this method is neat for there is no use of solvent in the sample preparation.	तरल पदार्थ: तरल नमूने की एक बूंद पॉलिश आईआर नमक प्लेटों की एक जोड़ी के बीच रखी जाती है। प्लेटों को एक साथ दबाया जाता है और नमूना नमक प्लेटों के बीच एक पतली फिल्म बनाता है। नमूना तैयार करने में विलायक का कोई उपयोग नहीं होने के लिए इस विधि द्वारा प्राप्त स्पेक्ट्रम साफ-सुथरा है।
Solids: One of the methods used to prepare sample is the Bbr Pellet method. Where the sample is powdered along with KBr and pressed under high pressure to form a pellet.	सॉलिड्स: नमूना तैयार करने के लिए इस्तेमाल की जाने वाली विधियों में से एक Bbr गोली विधि है। जहां नमूना केबीआर के साथ पाउडर किया जाता है और एक गोली बनाने के लिए उच्च दबाव में दबाया जाता है।
The other method is the Nujol method where the sample is ground along with few drops of mineral oil or nujol and the thick suspension is place between the salt plates.	दूसरी विधि नुजूल विधि है जहां नमूना खनिज तेल या नुजोल की कुछ बूंदों के साथ जमीन है और नमक प्लेटों के बीच मोटी निलंबन है।
Figure 4: IR salt plates (Sodium Chloride)	चित्र 4: IR नमक प्लेटें (सोडियम क्लोराइड)
Picture source: http://www.sciencephoto.com/media/222708/view	चित्र स्रोत: http://www.sciencephoto.com/media/222708/view
The Infrared Spectrometer:	इन्फ्रारेड स्पेक्ट्रोमीटर:
The infrared spectrometer or the spectrophotometer is the instrument that determines the IR absorption spectra of a compound. There are two types of spectrometers that are widely used in laboratories.	अवरक्त स्पेक्ट्रोमीटर या स्पेक्ट्रोफोटोमीटर एक उपकरण है जो एक यौगिक के आईआर अवशोषण स्पेक्ट्रा को निर्धारित करता है। दो प्रकार के स्पेक्ट्रोमीटर हैं जो प्रयोगशालाओं में व्यापक रूप से उपयोग किए जाते हैं।
a. Dispersive infrared spectrometers	ए। फैलाने वाले अवरक्त स्पेक्ट्रोमीटर
b. Fourier-Transform spectrometers	ख। फूरियर-ट्रांसफॉर्म स्पेक्ट्रोमीटर
Figure4: The main components of a fourier transform infrared (FTIR) spectrophotometer.	चित्रा 4: एक फूरियर के मुख्य घटक अवरक्त (एफटीआईआर) स्पेक्ट्रोफोटोमीटर को बदलते हैं।
Picture source: http://cnx.org/content/m34660/latest/?collection=col10699/latest	चित्र स्रोत: http://cnx.org/content/m34660/latest/?collection=col10699/lestest
FT-IR spectrometers are the modern spectometers that provide the spectrum more rapidly than the dispersive ones. The optical pathway produces a pattern called the interferogram. This is a complex signal which is a plot of intensity versus time. For more practical purposes this time-domine spectrum is converted to a frequency-domain spectrum, that is intensity versus frequency. This conversion is done by a mathematical operation called a Fourier-Transform (FT). FT separates the individual frequencies from the interferogram producing a virtual spectrum identical to the one abtained form dispersive spectrometers. The biggest advantage of using a FT-IR spectometers is that it is possible to collect number of interferograms of the same sample in less than a second. When a fourier-Transform is performed a sum of all the interferograms gives spectrum which has a better signal to noise ratio. Greater speed and greater sensitivity makes FT-IR spectrometers preferred over dispersive spectometers.	एफटी-आईआर स्पेक्ट्रोमीटर आधुनिक स्पेक्ट्रोमीटर हैं जो स्पेक्ट्रम को फैलाने वाले की तुलना में अधिक तेजी से प्रदान करते हैं। ऑप्टिकल पाथवे इंटरफेरोग्राम नामक एक पैटर्न का उत्पादन करता है। यह एक जटिल संकेत है जो तीव्रता बनाम समय की एक साजिश है। अधिक व्यावहारिक उद्देश्यों के लिए यह टाइम-डोमिन स्पेक्ट्रम एक आवृत्ति-डोमेन स्पेक्ट्रम में बदल जाता है, जो कि तीव्रता बनाम आवृत्ति है। यह रूपांतरण एक गणितीय ऑपरेशन द्वारा किया जाता है जिसे फूरियर-ट्रांसफॉर्म (एफटी) कहा जाता है। एफटी अलग-अलग आवृत्तियों को अलग-अलग आवृत्तियों से अलग करता है जो एक आभासी स्पेक्ट्रम का उत्पादन करता है जो एक प्राप्त प्रपत्र डिस्पेंसर स्पेक्ट्रोमीटर के समान है। एफटी-आईआर स्पेक्ट्रोमीटर का उपयोग करने का सबसे बड़ा लाभ यह है कि एक सेकंड से भी कम समय में एक ही नमूने के इंटरफेरोग्राम की संख्या एकत्र करना संभव है। जब एक फूरियर-ट्रांसफॉर्म किया जाता है तो सभी इंटरफेरोग्राम का योग स्पेक्ट्रम देता है जो शोर अनुपात के लिए बेहतर संकेत है। ग्रेटर गति और अधिक संवेदनशीलता एफटी-आईआर स्पेक्ट्रोमीटर को फैलाने वाले स्पेक्ट्रोमीटर से अधिक पसंद करती है।
Updates	अपडेट्स(अभी_तक के) 
Lab Integration Kit 1.0.0 Released	लैब इंटीग्रेशन किट 1.0.0 जारी किया गया(प्रयोगशाला एकीकरण सामग्री 1.0.0 जारी की गई) 
Summer Sprint Integration Workshop at IIT Guwahati	आईआईटी गुवाहाटी में ग्रीष्मकालीन स्प्रिंट एकीकरण कार्यशाला 
A new set of 35 Virtual Labs on Portable Media	पोर्टेबल मीडिया पर 35 आभासी प्रयोगशालाओं (वर्चुअल लैब्स) का एक नया सेट 
VLEAD Blog	वीलिड ब्लॉग 
Sakshat Portal	साक्षात पोर्टल 
Nodal Center	नोडल केंद्र 
Contact : support@vlabs.ac.in	संपर्क: support@vlabs.ac.in 
Feedback	प्रतिक्रिया 
Follow us	हमारा अनुगमन करें
