Welcome to Virtual Labs - A MHRD Govt of india Initiative	एमएचआरडी भारत सरकार की एक पहल-आभासी प्रयोगशालाओं (वर्चुअल लैब्स) में आपका स्वागत है- 
2. Bonds between the heavy atoms (larger reduced mass) vibrate at a lower frequency than that of bonds between the lighter atoms.	2. भारी परमाणुओं (भारी, घटा हुआ द्रव्यमान) के बीच के आबंधन, हल्के परमाणुओं के बीच आबंधन की तुलना में, कम आवृत्ति पर कंपन करते हैं। 
The Infrared Spectrometer:	इन्फ्रारेड स्पेक्ट्रोमीटर: 
The infrared spectrometer or the spectrophotometer is the instrument that determines the IR absorption spectra of a compound. There are two types of spectrometers that are widely used in laboratories.	इन्फ्रारेड स्पेक्ट्रोमीटर या स्पेक्ट्रो फोटोमीटर एक ऐसा उपकरण होता है जो किसी भी यौगिक पदार्थ के आईआर समावेश स्पेक्ट्रा को निर्धारित करता है। दो प्रकार के स्पेक्ट्रोमीटर होते हैं जिन्हें प्रयोगशालाओं में व्यापक रूप से प्रयोग किया जाता है । 
a. Dispersive infrared spectrometers	अ. इंफ्रारेड को फैलाने वाले(डिस्पर्सिव)स्पेक्ट्रोमीटर 
b. Fourier-Transform spectrometers	ब. फूरियर ट्रांसफॉर्म स्पेक्ट्रोमीटर 
Figure 2: The main components of a fourier transform infrared (FTIR) spectrophotometer.	चित्र 2: फूरियर -ट्रांसफॉर्म इंफ्रारेड (एफटीआईआर) स्पेक्ट्रोफोटोमीटर के मुख्य घटक। 
Picture source: http://cnx.org/content/m34660/latest/?collection=col10699/latest	Picture source: http://cnx.org/content/m34660/latest/?collection=col10699/latest 
FT-IR spectrometers are the modern spectometers that provide the spectrum more rapidly than the dispersive ones. The optical pathway produces a pattern called the interferogram. This is a complex signal which is a plot of intensity versus time. For more practical purposes this time-domine spectrum is converted to a frequency-domain spectrum, that is intensity versus frequency. This conversion is done by a mathematical operation called a Fourier-Transform (FT). FT separates the individual frequencies from the interferogram producing a virtual spectrum identical to the one abtained form dispersive spectrometers. The biggest advantage of using a FT-IR spectometers is that it is possible to collect number of interferograms of the same sample in less than a second. When a fourier-Transform is performed a sum of all the interferograms gives spectrum which has a better signal to noise ratio. Greater speed and greater sensitivity makes FT-IR spectrometers preferred over dispersive spectometers.	एफटी आईआर स्पेक्ट्रोमीटर, आधुनिक स्पेक्ट्रोमीटर हैं जो स्पेक्ट्रम को, इंफ्रारेड को फैलाने वाले(डिस्पर्सिव)स्पेक्ट्रोमीटर की तुलना में, अधिक तेजी से बनाते हैं। प्रकाश पथ (ऑप्टिकल पाथवे), इंटरफेरोग्राम नामक एक प्रतिरूप दिखलाता है। यह एक जटिल संकेत होता है जो 'तीव्रता विरुद्ध समय' की एक रूपरेखा होती है। अधिक व्यावहारिक उद्देश्यों के लिए, यह समय-डोमेन स्पेक्ट्रम, एक आवृत्ति-डोमेन स्पेक्ट्रम में बदल जाता है, जो कि 'तीव्रता विरुद्ध आवृत्ति' होता है। यह रूपांतरण एक गणितीय प्रणाली द्वारा किया जाता है जिसे फूरियर ट्रांसफॉर्म (एफटी) कहा जाता है। एफटी, एक ऐसा अप्रत्यक्ष स्पेक्ट्रम बनाते हुए, एक-एक आवृत्ति को इंटरफेरोग्राम से अलग करता है जो एक डिस्परसिव स्पेक्ट्रोमीटर से बनने वाले के समान होता है। एफटी आईआर स्पेक्ट्रोमीटर के उपयोग करने का सबसे बड़ा लाभ यह होता है कि इससे एक ही नमूने के इंटरफेरोग्रामों को, एक सेकंड से भी कम समय में एकत्र करना संभव होता है। जब एक फूरियर ट्रांसफॉर्म किया जाता है तो सभी इंटरफेरोग्रामों का योग, एक वैसा स्पेक्ट्रम देता है जो ध्वनि अनुपात के लिए एक बेहतर संकेत होता है। ज्यादा गति एवं ज्यादा संवेदनशीलता, एफटी आईआर स्पेक्ट्रोमीटर को, डिस्परसिव स्पेक्ट्रोमीटर से भी ज्यादा, अपनाने योग्य बनाती है। 
Figure 3: FT-IR spectrophotometers collects the interferograms of the sample and fourier-transform them to a absorption spectrum.	चित्र 3: एफटी आईआर स्पेक्ट्रोफोटोमीटर, नमूने के इंटरफेरोग्रामों को इकट्ठा करता है और फूरियर इनको एक समावेश स्पेक्ट्रम में बदल देता है। 
Picture source: http://faculty.sdmiramar.edu/fgarces/LabMatters/Instruments/FTIR/FTIR.htm	Picture source: http://faculty.sdmiramar.edu/fgarces/LabMatters/Instruments/FTIR/FTIR.htm 
Updates	अपडेट्स(अभी_तक के) 
Lab Integration Kit 1.0.0 Released	लैब इंटीग्रेशन किट 1.0.0 जारी किया गया (प्रयोगशाला एकीकरण सामग्री 1.0.0 जारी की गई) 
Summer Sprint Integration Workshop at IIT Guwahati	आईआईटी गुवाहाटी में ग्रीष्मकालीन स्प्रिंट एकीकरण कार्यशाला 
A new set of 35 Virtual Labs on Portable Media	पोर्टेबल मीडिया पर 35 आभासी प्रयोगशालाओं (वर्चुअल लैब्स) का एक नया सेट 
VLEAD Blog	वीलिड ब्लॉग 
Sakshat Portal	साक्षात पोर्टल 
Nodal Center	नोडल केंद्र 
Contact : support@vlabs.ac.in	संपर्क: support@vlabs.ac.in 
Feedback	प्रतिक्रिया 
Follow us	हमारा अनुगमन करें
