Physical Chemistry Lab	భౌతిక రసాయన శాస్త్ర ప్రయోగశాల 
where 'σ' is the shield constant. The electrons around the nucleus shield the nuclei from effective magnetic field and requires energy of lower frequency to cause resonance. Therefore different nuclei in the same compound come into resonance at different frequencies. In general hydrogens bound to carbons attached to electron withdrawing groups tend to resonate at higher frequencies . The position of where a particular hydrogen atom resonates relative to TMS is called its chemical shift.	ఇక్కడ 'σ' షీల్డ్ స్థిరాంకం. న్యూక్లియస్ చుట్టూ ఉన్న ఎలక్ట్రాన్లు సమర్థవంతమైన అయస్కాంత క్షేత్రం నుండి కేంద్రకాలను రక్షిస్తాయి మరియు ప్రతిధ్వనిని కలిగించడానికి తక్కువ పౌనఃపున్యాల శక్తి అవసరం. అందువల్ల ఒకే సమ్మేళనం లోని వేర్వేరు కేంద్రకాలు వేర్వేరు పౌనఃపున్యాల వద్ద ప్రతిధ్వనిలోకి వస్తాయి. సాధారణంగా ఎలక్ట్రాన్ ఉపసంహరణ సమూహాలకు అనుసంధానించబడిన కార్బన్‌లకు కట్టుబడి ఉన్న హైడ్రోజెన్‌లు అధిక పౌనఃపున్యాల వద్ద ప్రతిధ్వనిస్తాయి. ఒక నిర్దిష్ట హైడ్రోజన్ అణువు TMS కు సంబంధించి ప్రతిధ్వనించే స్థానాన్ని దాని రసాయన మార్పు(కెమికల్ షిఫ్ట్) అంటారు. 
δ = Observed chemical shift (Hz) x 106/Spectrometer frequency (Hz) (parts per million)	δ = పరిశీలించిన రసాయన మార్పు(కెమికల్ షిఫ్ట్) (Hz) x 106 / స్పెక్ట్రోమీటర్ ఫ్రీక్వెన్సీ (Hz) (మిలియన్‌ భాగాలు) 
The peak value of TMS is assigned as d = 0.00.	TMS యొక్క గరిష్ట విలువ d = 0.00 గా కేటాయించబడుతుంది. 
Solvent and internal standard:	ద్రావకం మరియు అంతర్గత ప్రమాణం: 
Tetramethylsilane is used as an internal standard during the NMR measurements for the following reasons:	ఈ క్రింది కారణాల వల్ల NMR కొలతల సమయంలో టెట్రామీథైల్సిలేన్ అంతర్గత ప్రమాణంగా ఉపయోగించబడుతుంది: 
1. Is inert, non toxic, low boiling point and can be recovered by distillation	1. జడత్వం, విషరహిత, తక్కువ మరిగే స్థానం మరియు స్వేదనం ద్వారా తిరిగి పొందవచ్చు 
2. Very small amount is required for measurement	2. కొలవడం కోసం చాలా తక్కువ మొత్తం అవసరం 
3. Has 12 equivalent protons and thus give a single strong peak	3. 12 సమానమైన ప్రోటాన్లు ఉంటే చాలు తద్వారా ఒక బలమైన శిఖరాన్ని ఇస్తుంది 
4. The signal appears outside (more upfield) away from most of the protons signals	4. చాలా ప్రోటాన్ల సిగ్నల్స్ నుండి దూరంగా ఈ సిగ్నల్ బయట కనిపిస్తుంది (ఎక్కువ అప్ఫీల్డ్) 
When using the modern NMR instruments, no internal standard is added to the sample to be measure. The difference between the solvent signal and the TMS is known. The modern instruments detect the solvent signal and lock them, which now can serve as the internal standard.	ఆధునిక ఎన్‌ఎంఆర్ సాధనాలను ఉపయోగిస్తున్నప్పుడు, నమూనాకను కొలవడానికి అంతర్గత ప్రమాణాలు జోడించబడవు. ద్రావణి సిగ్నల్ మరియు టిఎంఎస్ మధ్య వ్యత్యాసం తెలుసు. ఆధునిక సాధనాలు ద్రావణి సిగ్నల్‌ను గుర్తించి వాటిని లాక్ చేస్తాయి, ఇవి ఇప్పుడు అంతర్గత ప్రమాణంగా ఉపయోగపడతాయి. 
Source: jpkc.henu.edu.cn	మూలం: jpkc.henu.edu.cn 
To record a NMR spectrum of a particular sample it is required to dissolve the sample in a solvent. To avoid the sample signals one needs to use deuterated solvent. For a non polar to moderately polar compounds deuterated chloroform is commonly used. For polar compounds deuterated Dimethyl sulfoxide (DMSO) is commonly used. Any traces of impurity in the solvents used are detected at CHCl3 : 7.25 ppm and DMSO : 2.5 ppm	ఒక నిర్దిష్ట నమూనా యొక్క NMR స్పెక్ట్రంను రికార్డ్ చేయడానికి, ఒక ద్రావకంలో నమూనాను కరిగించడం అవసరం. నమూనా సంకేతాలను నివారించడానికి డ్యూటెరేటెడ్ ద్రావకాన్ని ఉపయోగించాలి. ధ్రువ రహిత నుండి మధ్యస్తంగా ధ్రువ సమ్మేళనాల కోసం డ్యూటెరేటెడ్ క్లోరోఫామ్ సాధారణంగా ఉపయోగించబడుతుంది. ధ్రువ సమ్మేళనాల కోసం డ్యూటెరేటెడ్ డైమిథైల్ సల్ఫాక్సైడ్ (DMSO) ను సాధారణంగా ఉపయోగిస్తారు. ఉపయోగించిన ద్రావకాలలో అశుద్ధత యొక్క ఏదైనా జాడలు CHCl3: 7.25 ppm మరియు DMSO: 2.5 ppm వద్ద కనుగొనబడతాయి 
NMR Spectra:	ఎన్ఎంఆర్ స్పెక్ట్రా: 
An NMR spectrum gives various information of the compound that it helps in structural elucidation of the organic molecule;	సేంద్రీయ అణువు యొక్క నిర్మాణాత్మక స్పష్టీకరణకు సహాయపడే సమ్మేళనం యొక్క వివిధ సమాచారాన్ని NMR స్పెక్ట్రం ఇస్తుంది; 
• The number of signals gives the the number of different sets of protons present in the sample measured.	ఈ సంకేతాల సంఖ్య, కొలిచిన నమూనాలో ఉన్న వివిధ రకాల ప్రోటాన్ల సంఖ్యను ఇస్తుంది. 
• Chemical shift gives the environment of the protons	• రసాయన మార్పు ప్రోటాన్ల ఆవరణాన్ని ఇస్తుంది 
• Multiplicity gives information on the number of protons on adjacent atoms	• బహుళత్వము(మల్టిప్లిసిటీ), ప్రక్కనే ఉన్న అణువులలో ప్రోటాన్ల సంఖ్య యెుక్క సమాచారాన్ని ఇస్తుంది 
• Integration of the peaks (peak area) gives the number of protons in each environment	శిఖరాల ఏకీకరణ (పీక్ ఏరియా) ప్రతి ఆవరణలో ప్రోటాన్ల సంఖ్యను ఇస్తుంది 
Source: http://cactus.dixie.edu/smblack/chem2310/ch5/LG_key_Ch5.pdf	మూలం: http://cactus.dixie.edu/smblack/chem2310/ch5/LG_key_Ch5.pdf 
Objective	లక్ష్యం 
To understand the basic principles of proton NMR.	ప్రోటాన్ NMR యొక్క ప్రాథమిక సూత్రాలను అర్థం చేసుకోవడం. 
Systemically evaluate three sets of compounds with n equivalent number of protons.	సమానమైన ప్రోటాన్‌లు గల మూడు సెట్ల సమ్మేళనాలను వ్యవస్థాత్మకంగా అంచనా వేయండి. 
Source: http://www.mhhe.com/physsci/chemistry/carey/student/olc/ch13nmr.html	మూలం: http://www.mhhe.com/physsci/chemistry/carey/student/olc/ch13nmr.html 
Experiment	ప్రయోగం 
Click here	ఇక్కడ నొక్కండి 
Manual	సంపుటి(మాన్యువల్) 
Follow the procedure given below:	క్రింద ఇచ్చిన విధానాన్ని అనుసరించండి: 
Step1: Click on Sample.	దశ 1: నమూనాపై క్లిక్ చేయండి. 
Step 2: Select one sample (Benzene, Acetaldehyde,Ethylacetate).(The sample gets loaded on to the sample cavity).	దశ 2: ఒక నమూనాను ఎంచుకోండి (బెంజీన్, ఎసిటాల్డిహైడ్, ఇథైలాసెటేట్). (నమూనా కుహరం వద్ద నమూనా లోడ్ అవుతుంది). 
Step 3:Press 'Start' to start the experiment.(The NMR spectrum of the corresponding sample gets displayed).	దశ 3: ప్రయోగాన్ని ప్రారంభించడానికి 'Start'(ప్రారంభించు) నొక్కండి. (సంబంధిత నమూనా యొక్క NMR స్పెక్ట్రం ప్రదర్శించబడుతుంది). 
Step 4: Press 'Evaluate' to go to the evaulation page.	దశ 4: మూల్యాంకన పేజీకి వెళ్లడానికి 'Evaluate'(మూల్యాంకనం) నొక్కండి. 
Step 5:Calculate and analyse the spectrum.	దశ 5: స్పెక్ట్రం యెుక్క గణన మరియు విశ్లేషిణ. 
Quizzes	క్విజ్స్ 
right answer!	సరైన సమాధానం! 
oops, wrong answer!	అయ్యో, తప్పు సమాధానం! 
1. NMR technique uses:	1. NMR పద్దతి ఉపయోగాలు: 
Microwave	మైక్రోవేవ్ 
Radio waves	దూరవాణి తరంగాలు 
Infrared radiation	పరారుణ వికిరణం(రేడియేషన్) 
Gamma radiation	గామా వికిరణం(రేడియేషన్) 
2. The x-axis in a NMR spectrum is	2. NMR స్పెక్ట్రంలో x- అక్షం 
ratio of the magnetic field strength in ppm	ppm లో అయస్కాంత క్షేత్ర బలం యొక్క నిష్పత్తి 
frequency in cm-1	cm-1 లో పౌనః పున్యము 
mass to charge ratio (m/z)	ద్రవ్యరాశి మరియు ఆవేశంల నిష్పత్తి (m/z) 
Absorbance	పీల్చే శక్తి 
3. A shielded proton is the one which experiences:	3. కవచం కలిగిన ఆ ప్రోటాన్ అనుభూతులు: 
More electron density and more magnetic field strength	ఎక్కువ ఎలక్ట్రాన్ సాంద్రత మరియు ఎక్కువ అయస్కాంత క్షేత్ర బలం 
Less electron density and less magnetic field strength	తక్కువ ఎలక్ట్రాన్ సాంద్రత మరియు తక్కువ అయస్కాంత క్షేత్ర బలం 
More electron density and less magnetic field strength	ఎక్కువ ఎలక్ట్రాన్ సాంద్రత మరియు తక్కువ అయస్కాంత క్షేత్ర బలం 
Less electron density and more magnetic field strength	తక్కువ ఎలక్ట్రాన్ సాంద్రత మరియు ఎక్కువ అయస్కాంత క్షేత్ర బలం 
4. The internal reference standard used in NMR experiments is:	4. NMR ప్రయోగాలలో ఉపయోగించే అంతర్గత సూచన ప్రమాణం: 
tetramethylsilane	టెట్రామీథైల్సిలేన్ 
deuterated solvents	డ్యూటెరేటెడ్ ద్రావకాలు 
Nor-Leucine	నార్-ల్యుసిన్ 
2,2-diphenyl-1-picrylhydrazyl	2,2-డై ఫినైల్-1-పిక్రిల్ హైడ్రాజైల్ 
5. The TMS (tetramethylsilane) peak value is assigned at:	5. TMS (టెట్రామీథైల్సిలేన్) గరిష్ట విలువ ఇక్కడ కేటాయించబడింది: 
δ = 0.05	δ = 0.05 
δ = 0.11	δ = 0.11 
δ = 1.00	δ = 1.00 
δ = 0.00	δ = 0.00 
6. The number of hydrogens are calculated from peak integration by studying the	6. పీక్ ఇంటిగ్రేషన్ నుండి ఈ క్రింది వాటిని అధ్యయనం చేయడం ద్వారా హైడ్రోజెన్ల సంఖ్యను లెక్కిస్తారు 
Intensity of the peak	శిఖరం యొక్క తీవ్రత 
Area under the curve	వక్రరేఖ కింద ఉన్న ప్రాంతం 
Position of the peak	శిఖరం యొక్క స్థానం 
frequency used	ఉపయోగించబడిన ఫ్రీక్వెన్సీ 
7. The most common deuterated solvent used for polar compounds is:	7. ధ్రువ సమ్మేళనాల కోసం ఉపయోగించే అత్యంత సాధారణ డ్యూటెరేటెడ్ ద్రావకం: 
DMF	DMF 
DMSO	DMSO 
Chroloform	క్లోరోఫామ్ 
Water	నీరు 
8. The 13C NMR spectrum gives information about:	8. 13 సి ఎన్ఎమ్ఆర్ స్పెక్ట్రం దీని గురించి సమాచారం ఇస్తుంది: 
Number of equivalent Carbon atoms	సమానమైన కార్బన్ అణువుల సంఖ్య 
Number of non- equivalent Carbon atoms	అసమానమైన కార్బన్ అణువుల సంఖ్య 
Number of equivalent hydrogen atoms	సమానమైన హైడ్రోజన్ అణువుల సంఖ్య 
Number of non- equivalent hydrogen atoms	అసమానమైన హైడ్రోజన్ అణువుల సంఖ్య 
9. The number of peaks tells you:	9. శిఖరాల సంఖ్య మీకు ఏం చెబుతుందంటే: 
the number of different proton environments	వివిధ ప్రోటాన్ ఆవరణాల సంఖ్య 
the general environment of the protons	ప్రోటాన్ల సాధారణ ఆవరణం 
number of protons atoms on the adjacent atom	ప్రక్కనే ఉన్న అణువులో ప్రోటాన్ల సంఖ్య 
number of protons in each environment	ప్రతి ఆవరణంలో ప్రోటాన్ల సంఖ్య 
10. In a NMR spectrum the peak multiplicity gives:	10. NMR స్పెక్ట్రంలో శిఖర బహుళత్వం(మల్టిప్లిసిటీ) ఇచ్చే వివరాలు: 
the number of different proton environments	వివిధ ప్రోటాన్ ఆవరణాల సంఖ్య 
the general environment of the protons	ప్రోటాన్ల సాధారణ ఆవరణం 
number of protons atoms on the adjacent atom	ప్రక్కనే ఉన్న అణువులో ప్రోటాన్ల సంఖ్య 
number of protons in each environment	ప్రతి ఆవరణంలో ప్రోటాన్ల సంఖ్య 
Solutions	ద్రావణాలు 
1. NMR technique uses:	1. NMR పద్దతి ఉపయోగాలు: 
Radio waves	దూరవాణి తరంగాలు 
2. The x-axis in a NMR spectrum is	2. NMR స్పెక్ట్రంలో x- అక్షం 
ratio of the magnetic field strength in ppm	ppm లో అయస్కాంత క్షేత్ర బలం యొక్క నిష్పత్తి 
3. A shielded proton is the one which experiences:	3. కవచం కలిగిన ఆ ప్రోటాన్ అనుభూతులు:: 
More electron density and less magnetic field strength	ఎక్కువ ఎలక్ట్రాన్ సాంద్రత మరియు తక్కువ అయస్కాంత క్షేత్ర బలం 
4. The internal reference standard used in NMR experiments is:	4. NMR ప్రయోగాలలో ఉపయోగించే అంతర్గత సూచన ప్రమాణం: 
tetramethylsilane	టెట్రామీథైల్సిలేన్ 
5. The TMS (tetramethylsilane) peak value is assigned at:	5. TMS (టెట్రామీథైల్సిలేన్) గరిష్ట విలువ ఇక్కడ కేటాయించబడింది: 
δ = 0.00	δ = 0.00 
6. The number of hydrogens are calculated from peak integration by studying the	6. పీక్ ఇంటిగ్రేషన్ నుండి ఈ క్రింది వాటిని అధ్యయనం చేయడం ద్వారా హైడ్రోజెన్ల సంఖ్యను లెక్కిస్తారు 
Aread under the curve	వక్రరేఖ కింద ఉన్న ప్రాంతం 
7. The most common deuterated solvent used for polar compounds is:	7. ధ్రువ సమ్మేళనాల కోసం ఉపయోగించే అత్యంత సాధారణ డ్యూటెరేటెడ్ ద్రావకం: 
DMSO	DMSO 
8. The 13C NMR spectrum gives information about:	8. 13 సి ఎన్ఎమ్ఆర్ స్పెక్ట్రం దీని గురించి సమాచారం ఇస్తుంది: 
Number of non- equivalent Carbon atoms	అసమానమైన కార్బన్ అణువుల సంఖ్య 
9. The number of peaks tells you:	9. శిఖరాల సంఖ్య మీకు ఏం చెబుతుందంటే: 
the number of different proton environments	వివిధ ప్రోటాన్ ఆవరణాలు 
10. In a NMR spectrum the peak multiplicity gives:	10. NMR స్పెక్ట్రంలో శిఖర బహుళ్వం ఇచ్చే వివరాలు: 
number of protons atoms on the adjacent atom	ప్రక్కనే ఉన్న అణువులో ప్రోటాన్ల సంఖ్య 
Further Readings	ఇంకా చదవల్సినవి 
Book References:	పుస్తక సూచనలు: 
1. J. Keeler (2005). Understanding NMR Spectroscopy. John Wiley & Sons interpreting Infrared, Raman, and Nuclear Magnetic Resonance Spectra, 2-Volume Set R.A. Nyquist, Academic Press, New York, NY, 2001. 2. http://www.physicscentral.com/explore/action/fmri1.cfm 3. http://cactus.dixie.edu/smblack/chem2310/ch5/LG_key_Ch5.pdf 4. http://www.knockhardy.org.uk/sci_htm_files/nmr2.pdf 5. http://www.chemguide.co.uk/analysismenu.html#top 6. http://science.csustan.edu/tutorial/nmr/index.htm 7. http://www.wisc-online.com/objects/ViewObject.aspx?ID=GCH6304 8. http://www.youtube.com/watch?v=SBuXwSFyZwU&feature=player_embedded 9. http://www.youtube.com/watch?v=sDVTzayocWk&feature=related 10. http://orgchem.colorado.edu/procedures/NMR/NMRacquisition.html 11. http://www.mhhe.com/physsci/chemistry/carey/student/olc/ch13nmr.html	1. జె. కీలర్ (2005). ఎన్‌ఎంఆర్ స్పెక్ట్రోస్కోపీని అర్థం చేసుకోవడం. జాన్ విలే & సన్స్ ఇన్ఫ్రారెడ్, రామన్, మరియు న్యూక్లియర్ మాగ్నెటిక్ రెసొనెన్స్ స్పెక్ట్రా, 2-వాల్యూమ్ సెట్ R.A. న్యూక్విస్ట్, అకాడెమిక్ ప్రెస్, న్యూయార్క్, NY, 2001. 2. http://www.physicscentral.com/explore/action/fmri1.cfm 3. http://cactus.dixie.edu/smblack/chem2310/ch5/LG_key_Ch5 .pdf 4. http://www.knockhardy.org.uk/sci_htm_files/nmr2.pdf 5. http://www.chemguide.co.uk/analysismenu.html#top 6. http: //science.csustan. edu / tutorial / nmr / index.htm 7. http://www.wisc-online.com/objects/ViewObject.aspx?ID=GCH6304 8. http://www.youtube.com/watch?v=SBuXwSFyZwU&feature= player_embedded 9. http://www.youtube.com/watch?v=sDVTzayocWk&feature=related 10. http://orgchem.colorado.edu/procedures/NMR/NMRacquisition.html 11. http://www.mhhe.com /physsci/chemistry/carey/student/olc/ch13nmr.html 
Feedback	అభిప్రాయం 
Feedback	అభిప్రాయం
