Physical Chemistry Lab	भौतिक रसायन विज्ञान प्रयोगशाला
Experiment	उपरोक्त सन्निकटन का उपयोग करके, गति का समीकरण घटकर: सरल हार्मोनिक दोलक(ऑसिलेटर) के समीकरण के लिए समाधान है जहां, θ(t) दोलक का इतिहास है,θ0 प्रारंभिक कोण है, ω = (g /l) 1/2 गति की प्राकृतिक आवृत्ति है।
Manual	लक्ष्य
Start the experiment with the default values of length, mass and intial displacement (in angle). Pause the experiment after few cycles and note	सरल हार्मोनिक दोलक(ऑसिलेटर) प्रयोग का उद्देश्य हार्मोनिक दोलनों में समयावधि (प्राकृतिक आवृत्ति)की अवधारणा को समझना है
the observation.	प्रयोग
Observation 1:	गाइड(नियम पुस्तिका)(मैन्यूअल)
Find the time period of the pendulum by noting the time interval of any one complete cycle from the response graph.	लंबाई, द्रव्यमान और प्रारंभिक विस्थापन (कोण में)की न्यूनतम (डिफ़ॉल्ट) परिमाणों से प्रयोग शुरू करें।
You may note that this time period value is same for any complete cycle.	कुछ चक्रों के बाद प्रयोग को रोकें और निरीक्षणों को लिख ले।
Read More	निरीक्षण1:
Quizzes	प्रतिक्रिया ग्राफ से किसी भी एक पूर्ण चक्र के समय अंतराल को नोट करके लोलक (पेंडुलम) की समय अवधि ज्ञात करें।
Q1.	आप देख सकते हैं कि इस समय अवधि का परिमाण किसी भी पूर्ण चक्र के लिए समान होता है।
Time taken for one complete oscillation is called Time Period of the oscillator.	और /आगे पढ़िए
True	क्विज़
False	Q1.
Q2.	एक पूर्ण दोलन के लिए लिये गये समय को दोलक(ऑसिलेटर)की समयावधि कहा जाता है।
Time period of the oscillator is constant for given values of mass, length and initial conditions.	सही
True	गलत
False	Q2.
Q3.	दोलक(ऑसिलेटर) की समय अवधि दिए गए द्रव्यमान, लंबाई और प्रारंभिक स्थिति के परिमाणों के लिए स्थिर होती है।
Value of Time period depends on initial conditions.	सही
True	गलत
False	Q3.
Q4.	समय अवधि का परिमाण प्रारंभिक स्थितियों पर निर्भर करता है।
Value of time period depends on mass.	सही
True	गलत
False	Q4.
Q5.	समयावधि का परिमाण द्रव्यमान पर निर्भर करता है।
Value of time period depends on length of the oscillator.	सही
True	गलत
False	क्यू 5.
Procedure	समयावधि का मान दोलक की लंबाई पर निर्भर करता है।
Procedure for the experiment is as follows	सही
Further Readings	गलत
http://en.wikipedia.org/wiki/Simple_harmonic_motion	विधि
http://www.physics.uoguelph.ca/tutorials/shm/Q.shm.html	प्रयोग की विधि इस प्रकार है
â€œDynamics of structuresâ€ by Anil K chopra.	और अधिक जानकारी/आगे की रीडिंग
http://surendranath.tripod.com/Applets/Oscillations/SHM/SHMApplet.html	http://en.wikipedia.org/wiki/Simple_harmonic_motion
